Sample,Cell voltage
756,3.271323
757,3.271313
758,3.271306
759,3.271296
760,3.271288
761,3.271274
762,3.271267
763,3.271255
764,3.271250
765,3.271239
766,3.271227
767,3.271222
768,3.271215
769,3.271204
770,3.271214
771,3.271188
772,3.271178
773,3.271167
774,3.271162
775,3.271160
776,3.271150
777,3.271134
778,3.271132
779,3.271119
780,3.271107
781,3.271099
782,3.271086
783,3.271080
784,3.271074
785,3.271059
786,3.271050
787,3.271040
788,3.271037
789,3.271025
790,3.271135
791,3.271007
792,3.270995
793,3.270985
794,3.270973
795,3.270966
796,3.270951
797,3.270944
798,3.270936
799,3.270929
800,3.270918
801,3.270910
802,3.270913
803,3.270892
804,3.270883
805,3.270875
806,3.270861
807,3.270855
808,3.270841
809,3.270843
810,3.270826
811,3.270819
812,3.270813
813,3.270801
814,3.270793
815,3.270781
816,3.270773
817,3.270764
818,3.270752
819,3.270744
820,3.270736
821,3.270721
822,3.270715
823,3.270703
824,3.270691
825,3.270686
826,3.270678
827,3.270666
828,3.270660
829,3.270646
830,3.270625
831,3.270628
832,3.270614
833,3.270611
834,3.270594
835,3.270590
836,3.270580
837,3.270567
838,3.270562
839,3.270548
840,3.270538
841,3.270532
842,3.270518
843,3.270506
844,3.270499
845,3.270485
846,3.270477
847,3.270471
848,3.270458
849,3.270450
850,3.270441
851,3.270431
852,3.270418
853,3.270408
854,3.270396
855,3.270385
856,3.270379
857,3.270366
858,3.270355
859,3.270343
860,3.270341
861,3.270328
862,3.270314
863,3.270305
864,3.270292
865,3.270283
866,3.270275
867,3.270267
868,3.270252
869,3.270240
870,3.270228
871,3.270221
872,3.270215
873,3.271399
874,3.271390
875,3.271377
876,3.271364
877,3.271347
878,3.271347
879,3.271342
880,3.270067
881,3.269980
882,3.269899
883,3.269814
884,3.269733
885,3.269657
886,3.269561
887,3.269465
888,3.269384
889,3.269295
890,3.269067
891,3.268850
892,3.268773
893,3.268689
894,3.268602
895,3.268507
896,3.268419
897,3.268328
898,3.268233
899,3.268137
900,3.268034
901,3.267944
902,3.267840
903,3.267739
904,3.267634
905,3.267537
906,3.267431
907,3.267319
908,3.267211
909,3.267102
910,3.266993
911,3.266876
912,3.266765
913,3.266647
914,3.266525
915,3.266411
916,3.266283
917,3.266154
918,3.266031
919,3.265903
920,3.265773
921,3.265648
922,3.265505
923,3.265372
924,3.265240
925,3.265100
926,3.264955
927,3.264812
928,3.264670
929,3.264523
930,3.264374
931,3.264223
932,3.264070
933,3.263914
934,3.263759
935,3.263592
936,3.263431
937,3.263267
938,3.262026
939,3.262260
940,3.262339
941,3.262242
942,3.262100
943,3.261935
944,3.261774
945,3.261594
946,3.261418
947,3.261236
948,3.261042
949,3.260851
950,3.260662
951,3.260457
952,3.260258
953,3.260048
954,3.259838
955,3.259625
956,3.259408
957,3.259187
958,3.258969
959,3.258748
960,3.258513
961,3.258281
962,3.258047
963,3.257811
964,3.257571
965,3.257324
966,3.257078
967,3.256832
968,3.256574
969,3.256324
970,3.256060
971,3.255806
972,3.255536
973,3.255267
974,3.255001
975,3.254733
976,3.254455
977,3.254187
978,3.253910
979,3.253632
980,3.253357
981,3.253072
982,3.252790
983,3.252508
984,3.252230
985,3.251946
986,3.251658
987,3.251368
988,3.251090
989,3.250800
990,3.250513
991,3.250227
992,3.249943
993,3.249661
994,3.249378
995,3.249097
996,3.248820
997,3.248538
998,3.248267
999,3.247991
1000,3.247713
1001,3.247451
1002,3.247186
1003,3.246917
1004,3.246659
1005,3.246396
1006,3.246141
1007,3.245889
1008,3.245637
1009,3.245388
1010,3.245144
1011,3.244899
1012,3.244656
1013,3.244425
1014,3.244193
1015,3.243954
1016,3.243740
1017,3.243504
1018,3.243286
1019,3.243068
1020,3.242841
1021,3.242631
1022,3.242422
1023,3.242209
1024,3.241999
1025,3.241800
1026,3.241596
1027,3.241403
1028,3.241204
1029,3.241131
1030,3.240819
1031,3.240639
1032,3.240452
1033,3.240263
1034,3.240080
1035,3.239905
1036,3.239722
1037,3.239547
1038,3.239377
1039,3.239206
1040,3.239035
1041,3.238868
1042,3.238704
1043,3.238539
1044,3.238380
1045,3.238218
1046,3.238055
1047,3.237892
1048,3.237737
1049,3.237589
1050,3.237436
1051,3.237283
1052,3.237129
1053,3.236978
1054,3.236831
1055,3.236685
1056,3.236540
1057,3.236400
1058,3.236254
1059,3.236108
1060,3.235967
1061,3.235826
1062,3.235687
1063,3.235545
1064,3.235414
1065,3.235264
1066,3.235127
1067,3.234993
1068,3.234854
1069,3.234720
1070,3.234576
1071,3.234446
1072,3.234315
1073,3.234180
1074,3.234038
1075,3.233905
1076,3.233767
1077,3.233640
1078,3.233508
1079,3.233375
1080,3.233239
1081,3.233104
1082,3.232973
1083,3.232835
1084,3.232706
1085,3.232578
1086,3.232441
1087,3.232309
1088,3.232176
1089,3.232042
1090,3.231913
1091,3.231777
1092,3.231642
1093,3.231511
1094,3.231368
1095,3.231236
1096,3.231105
1097,3.230964
1098,3.230836
1099,3.230700
1100,3.230563
1101,3.230427
1102,3.230289
1103,3.231350
1104,3.230136
1105,3.229875
1106,3.229735
1107,3.229592
1108,3.229453
1109,3.229315
1110,3.229169
1111,3.229028
1112,3.228883
1113,3.228747
1114,3.228601
1115,3.228455
1116,3.228318
1117,3.228170
1118,3.228140
1119,3.227877
1120,3.227731
1121,3.227578
1122,3.227433
1123,3.227281
1124,3.227137
1125,3.226989
1126,3.226846
1127,3.226685
1128,3.226529
1129,3.226379
1130,3.226221
1131,3.226067
1132,3.225907
1133,3.225751
1134,3.225595
1135,3.225441
1136,3.225280
1137,3.225118
1138,3.224963
1139,3.224800
1140,3.224631
1141,3.224474
1142,3.224303
1143,3.224136
1144,3.223965
1145,3.223799
1146,3.223629
1147,3.223457
1148,3.223282
1149,3.223111
1150,3.222934
1151,3.222761
1152,3.222579
1153,3.222393
1154,3.222214
1155,3.222037
1156,3.221847
1157,3.221662
1158,3.221475
1159,3.221286
1160,3.221094
1161,3.220902
1162,3.220712
1163,3.220520
1164,3.220323
1165,3.221324
1166,3.219926
1167,3.219726
1168,3.219533
1169,3.219331
1170,3.219115
1171,3.218916
