h,m,s,voltage
8.00,49.00,31.35600,3.2647302
8.00,49.00,33.79900,3.2647216
8.00,49.00,36.23100,3.2647098
8.00,49.00,38.66500,3.2647065
8.00,49.00,41.09700,3.2646936
8.00,49.00,43.54300,3.2646882
8.00,49.00,45.99300,3.2646785
8.00,49.00,48.42400,3.2646764
8.00,49.00,50.86300,3.2646699
8.00,49.00,53.30000,3.2646624
8.00,49.00,55.73400,3.2646505
8.00,49.00,58.17000,3.2646494
8.00,50.00,0.60400,3.2646387
8.00,50.00,3.04400,3.2646268
8.00,50.00,5.49400,3.2646214
8.00,50.00,7.92900,3.2646139
8.00,50.00,10.35900,3.2646042
8.00,50.00,12.79000,3.2645977
8.00,50.00,15.23400,3.264587
8.00,50.00,17.66700,3.2645783
8.00,50.00,20.10700,3.2645719
8.00,50.00,22.54400,3.2645697
8.00,50.00,24.97900,3.2645557
8.00,50.00,27.41800,3.2645514
8.00,50.00,29.85900,3.2645299
8.00,50.00,32.29800,3.2645352
8.00,50.00,34.72900,3.2645212
8.00,50.00,37.18800,3.2645126
8.00,50.00,39.62300,3.2645018
8.00,50.00,42.07100,3.2644986
8.00,50.00,44.51100,3.2644889
8.00,50.00,46.94700,3.2644857
8.00,50.00,49.38500,3.2644781
8.00,50.00,51.82500,3.2644641
8.00,50.00,54.26700,3.2644577
8.00,50.00,56.70000,3.2644566
8.00,50.00,59.13700,3.2644501
8.00,51.00,1.56800,3.2644318
8.00,51.00,4.01700,3.2644286
8.00,51.00,6.46000,3.2644178
8.00,51.00,8.89700,3.2644103
8.00,51.00,11.35000,3.2644006
8.00,51.00,13.79100,3.264393
8.00,51.00,16.23300,3.2643801
8.00,51.00,18.67200,3.2643747
8.00,51.00,21.11200,3.264365
8.00,51.00,23.55100,3.2643607
8.00,51.00,25.99000,3.2643543
8.00,51.00,28.43000,3.2643435
8.00,51.00,30.87400,3.2643349
8.00,51.00,33.31700,3.2643273
8.00,51.00,35.74900,3.264309
8.00,51.00,38.18100,3.2643058
8.00,51.00,40.62100,3.2642982
8.00,51.00,43.05900,3.2642918
8.00,51.00,45.49700,3.2642756
8.00,51.00,47.92800,3.2642659
8.00,51.00,50.37600,3.2642573
8.00,51.00,52.81100,3.2642476
8.00,51.00,55.26700,3.2642379
8.00,51.00,57.71200,3.264225
8.00,52.00,0.14600,3.2642164
8.00,52.00,2.59300,3.2642077
8.00,52.00,5.03300,3.2642024
8.00,52.00,7.47200,3.2641959
8.00,52.00,9.90300,3.2641862
8.00,52.00,12.34300,3.2641808
8.00,52.00,14.78800,3.2641647
8.00,52.00,17.22100,3.2641528
8.00,52.00,19.66000,3.264141
8.00,52.00,22.10800,3.2641399
8.00,52.00,24.54500,3.2641313
8.00,52.00,26.97700,3.2641205
8.00,52.00,29.41600,3.2641108
8.00,52.00,31.85600,3.2641032
8.00,52.00,34.29400,3.2640892
8.00,52.00,36.72500,3.2640871
8.00,52.00,39.16900,3.2640752
8.00,52.00,41.61300,3.2640688
8.00,52.00,44.06300,3.264058
8.00,52.00,46.50300,3.2640526
8.00,52.00,48.94000,3.2640365
8.00,52.00,51.38900,3.2640289
8.00,52.00,53.82200,3.2640171
8.00,52.00,56.26300,3.2640084
8.00,52.00,58.70200,3.2639977
8.00,53.00,1.13400,3.2639891
8.00,53.00,3.58400,3.2639826
8.00,53.00,6.01500,3.263961
8.00,53.00,8.46100,3.2639589
8.00,53.00,10.89300,3.263947
8.00,53.00,13.33100,3.2639341
8.00,53.00,15.77200,3.263932
8.00,53.00,18.21200,3.2639255
8.00,53.00,20.65400,3.2639018
8.00,53.00,23.09400,3.2638943
8.00,53.00,25.53100,3.2638867
8.00,53.00,27.96500,3.263877
8.00,53.00,30.40500,3.2638781
8.00,53.00,32.84000,3.2638565
8.00,53.00,35.27800,3.2638479
8.00,53.00,37.72100,3.2638361
8.00,53.00,40.16200,3.2638221
8.00,53.00,42.60000,3.2638145
8.00,53.00,45.04100,3.2638027
8.00,53.00,47.48100,3.2637941
8.00,53.00,49.91900,3.2637876
8.00,53.00,52.35300,3.263779
8.00,53.00,54.78600,3.2637639
8.00,53.00,57.22800,3.2637553
8.00,53.00,59.67600,3.2637445
8.00,54.00,2.10500,3.2637391
8.00,54.00,4.54500,3.2637197
8.00,54.00,6.97700,3.2637025
8.00,54.00,9.41100,3.2636917
8.00,54.00,11.84600,3.2636885
8.00,54.00,14.28500,3.2636702
8.00,54.00,16.72700,3.2636637
8.00,54.00,19.16600,3.2636519
8.00,54.00,21.60300,3.2636411
8.00,54.00,24.05000,3.2636325
8.00,54.00,26.48200,3.2636206
8.00,54.00,28.93800,3.2636023
8.00,54.00,31.38800,3.2635948
8.00,54.00,33.82900,3.2635905
8.00,54.00,36.26700,3.2635754
8.00,54.00,38.70700,3.2635614
8.00,54.00,41.14100,3.263556
8.00,54.00,43.57400,3.2635387
8.00,54.00,46.01400,3.2635301
8.00,54.00,48.45800,3.2635183
8.00,54.00,50.89800,3.2635064
8.00,54.00,53.34100,3.263501
8.00,54.00,55.77700,3.263487
8.00,54.00,58.21200,3.2634741
8.00,55.00,0.66000,3.2634644
8.00,55.00,3.09100,3.2634558
8.00,55.00,5.52900,3.2634396
8.00,55.00,7.97800,3.2634289
8.00,55.00,10.43700,3.2634149
8.00,55.00,12.87600,3.2634052
8.00,55.00,15.31500,3.2633933
8.00,55.00,17.75200,3.263389
8.00,55.00,20.19300,3.2633728
8.00,55.00,22.63200,3.2633642
8.00,55.00,25.07200,3.2633513
8.00,55.00,27.51600,3.2633351
8.00,55.00,29.95600,3.2633244
8.00,55.00,32.39900,3.2633028
8.00,55.00,34.83700,3.2633017
8.00,55.00,37.27900,3.2632867
8.00,55.00,39.72900,3.263277
8.00,55.00,42.16500,3.2632705
8.00,55.00,44.60700,3.2632543
8.00,55.00,47.04100,3.2632349
8.00,55.00,49.49000,3.2632188
8.00,55.00,51.93000,3.2632091
8.00,55.00,54.36800,3.2631962
8.00,55.00,56.81200,3.2631919
8.00,55.00,59.25400,3.2631714
8.00,56.00,1.69600,3.2631649
8.00,56.00,4.14700,3.2631466
8.00,56.00,6.60000,3.2631358
8.00,56.00,9.03900,3.263124
8.00,56.00,11.47000,3.2631111
8.00,56.00,13.90800,3.2631024
