time	Cell voltage
11:52:00	3,274375
11:52:13	3,274370
11:52:03	3,274363
11:52:04	3,274353
11:52:06	3,274346
11:52:07	3,274344
11:52:08	3,274339
11:52:10	3,274331
11:52:11	3,274327
11:52:13	3,274320
11:52:14	3,274320
11:52:16	3,274310
11:52:17	3,274309
11:52:19	3,274296
11:52:20	3,274292
11:52:21	3,274286
11:52:23	3,274279
11:52:24	3,274274
11:52:26	3,274271
11:52:27	3,274268
11:52:29	3,274260
11:52:30	3,274259
11:52:32	3,274250
11:52:33	3,274247
11:52:34	3,274237
11:52:36	3,274234
11:52:37	3,274233
11:52:39	3,274223
11:52:40	3,274221
11:52:42	3,274210
11:52:43	3,274209
11:52:44	3,274204
11:52:46	3,274195
11:52:47	3,274188
11:52:49	3,274186
11:52:50	3,274186
11:52:52	3,274171
11:52:53	3,274160
11:52:55	3,274156
11:52:56	3,274151
11:52:57	3,274146
11:52:59	3,274135
11:53:00	3,274130
11:53:02	3,274129
11:53:03	3,274125
11:53:05	3,274117
11:53:06	3,274115
11:53:07	3,274105
11:53:09	3,274100
11:53:10	3,274092
11:53:12	3,274090
11:53:13	3,274087
11:53:15	3,274079
11:53:16	3,274073
11:53:18	3,274069
11:53:19	3,274062
11:53:20	3,274060
11:53:22	3,274050
11:53:23	3,274046
11:53:25	3,274043
11:53:26	3,274028
11:53:28	3,274026
11:53:29	3,274025
11:53:30	3,274137
11:53:32	3,274134
11:53:33	3,274005
11:53:35	3,273996
11:53:36	3,273991
11:53:38	3,273985
11:53:39	3,273980
11:53:41	3,273969
11:53:42	3,273965
11:53:43	3,273963
11:53:45	3,273955
11:53:46	3,273947
11:53:48	3,273944
11:53:49	3,273938
11:53:51	3,273933
11:53:52	3,273928
11:53:53	3,273921
11:53:55	3,273912
11:53:56	3,273906
11:53:58	3,273903
11:53:59	3,273898
11:54:13	3,273886
11:54:02	3,273883
11:54:04	3,273878
11:54:05	3,273875
11:54:06	3,273867
11:54:08	3,273861
11:54:09	3,273857
11:54:11	3,273845
11:54:12	3,273845
11:54:14	3,273839
11:54:15	3,273831
11:54:16	3,273824
11:54:18	3,273822
11:54:19	3,273815
11:54:21	3,273806
11:54:22	3,273804
11:54:24	3,273813
11:54:25	3,273789
11:54:27	3,273783
11:54:28	3,273781
11:54:29	3,273775
11:54:31	3,273769
11:54:32	3,273761
11:54:34	3,273757
11:54:35	3,273747
11:54:37	3,273742
11:54:38	3,273741
11:54:39	3,273730
11:54:41	3,273725
11:54:42	3,273721
11:54:44	3,273713
11:54:45	3,273705
11:54:47	3,273701
11:54:48	3,273698
11:54:50	3,273693
11:54:51	3,273687
11:54:52	3,273683
11:54:54	3,273675
11:54:55	3,273666
11:54:57	3,273658
11:54:58	3,273656
11:55:00	3,273652
11:55:13	3,273648
11:55:03	3,273636
11:55:04	3,273638
11:55:05	3,273628
11:55:07	3,273624
11:55:08	3,273618
11:55:10	3,273609
11:55:11	3,273604
11:55:13	3,273593
11:55:14	3,273594
11:55:15	3,273585
11:55:17	3,273573
11:55:18	3,273571
11:55:20	3,273565
11:55:21	3,273567
11:55:23	3,273558
11:55:24	3,273553
11:55:26	3,273548
11:55:27	3,273540
11:55:28	3,273537
11:55:30	3,273527
11:55:31	3,273524
11:55:33	3,273518
11:55:34	3,273512
11:55:36	3,273508
11:55:37	3,273497
11:55:38	3,273494
11:55:40	3,273489
11:55:41	3,273483
11:55:43	3,273477
11:55:44	3,273470
11:55:46	3,273462
11:55:47	3,273454
11:55:49	3,273449
11:55:50	3,273445
11:55:51	3,273437
11:55:53	3,273431
11:55:54	3,273425
11:55:56	3,273418
11:55:57	3,273412
11:55:59	3,273405
11:56:00	3,273404
11:56:13	3,273397
11:56:03	3,273394
11:56:04	3,273381
11:56:06	3,273371
11:56:07	3,273364
11:56:09	3,273360
11:56:10	3,273355
11:56:12	3,273346
11:56:13	3,273343
11:56:14	3,273335
11:56:16	3,273324
11:56:17	3,273327
11:56:19	3,273320
11:56:20	3,273310
11:56:22	3,273304
11:56:23	3,273298
11:56:24	3,273295
11:56:26	3,273287
11:56:27	3,273279
11:56:29	3,273274
11:56:30	3,273268
11:56:32	3,273256
11:56:33	3,273247
11:56:35	3,273241
11:56:36	3,273239
11:56:37	3,273233
11:56:39	3,273229
11:56:40	3,273220
11:56:42	3,273216
11:56:43	3,273212
11:56:45	3,273200
11:56:46	3,273199
11:56:47	3,273194
11:56:49	3,273187
11:56:50	3,273178
11:56:52	3,273169
11:56:53	3,273164
11:56:55	3,273162
11:56:56	3,273154
11:56:58	3,273148
11:56:59	3,273143
11:57:00	3,273137
11:57:02	3,273132
11:57:03	3,273127
11:57:05	3,273120
11:57:06	3,273104
11:57:08	3,273106
11:57:09	3,273100
11:57:10	3,273086
11:57:12	3,273084
11:57:13	3,273081
11:57:15	3,273067
11:57:16	3,273064
11:57:18	3,273059
11:57:19	3,273049
11:57:21	3,273045
11:57:22	3,273037
11:57:23	3,273035
11:57:25	3,273023
11:57:26	3,273021
11:57:28	3,273133
11:57:29	3,273130
11:57:31	3,272997
11:57:32	3,272992
11:57:33	3,272985
11:57:35	3,272978
11:57:36	3,272972
11:57:38	3,272967
11:57:39	3,272963
11:57:41	3,272957
11:57:42	3,272946
11:57:44	3,272943
11:57:45	3,272935
11:57:46	3,272928
11:57:48	3,272919
11:57:49	3,272916
11:57:51	3,272909
11:57:52	3,272903
11:57:54	3,272894
11:57:55	3,272888
11:57:56	3,272881
11:57:58	3,272876
11:57:59	3,272868
11:58:13	3,272860
11:58:02	3,272853
11:58:04	3,272850
11:58:05	3,272848
11:58:07	3,272837
11:58:08	3,272836
11:58:09	3,272828
11:58:11	3,272823
11:58:12	3,272819
11:58:14	3,272808
11:58:15	3,272799
11:58:17	3,272793
11:58:18	3,272786
11:58:20	3,272780
11:58:21	3,272771
11:58:22	3,272766
11:58:24	3,272759
11:58:25	3,272748
11:58:27	3,272739
11:58:28	3,272732
11:58:30	3,272724
11:58:31	3,272716
11:58:32	3,272716
11:58:34	3,272712
11:58:35	3,272697
11:58:37	3,272698
11:58:38	3,272690
11:58:40	3,272681
11:58:41	3,272674
11:58:43	3,272667
11:58:44	3,272659
11:58:45	3,272652
11:58:47	3,272648
11:58:48	3,272643
11:58:50	3,272635
11:58:51	3,272628
11:58:53	3,272620
11:58:54	3,272614
11:58:55	3,272609
11:58:57	3,272599
11:58:58	3,272597
11:59:00	3,272587
11:59:13	3,272583
11:59:03	3,272575
11:59:04	3,272564
11:59:06	3,272560
11:59:07	3,272548
11:59:08	3,272547
11:59:10	3,272541
11:59:11	3,272526
11:59:13	3,272525
