h,m,s,voltage
9.0000,50.0000,24.2740,3.2496
9.0000,50.0000,26.7060,3.2495
9.0000,50.0000,29.1480,3.2495
9.0000,50.0000,31.5940,3.2495
9.0000,50.0000,34.0240,3.2494
9.0000,50.0000,36.4630,3.2494
9.0000,50.0000,38.9070,3.2493
9.0000,50.0000,41.3350,3.2493
9.0000,50.0000,43.7630,3.2493
9.0000,50.0000,46.2010,3.2492
9.0000,50.0000,48.6420,3.2492
9.0000,50.0000,51.0830,3.2491
9.0000,50.0000,53.5150,3.2491
9.0000,50.0000,55.9410,3.2490
9.0000,50.0000,58.3700,3.2490
9.0000,51.0000,0.8120,3.2490
9.0000,51.0000,3.2480,3.2489
9.0000,51.0000,5.6800,3.2489
9.0000,51.0000,8.1140,3.2488
9.0000,51.0000,10.5560,3.2488
9.0000,51.0000,12.9970,3.2488
9.0000,51.0000,15.4300,3.2487
9.0000,51.0000,17.8680,3.2487
9.0000,51.0000,20.3070,3.2486
9.0000,51.0000,22.7470,3.2486
9.0000,51.0000,25.1800,3.2485
9.0000,51.0000,27.6190,3.2485
9.0000,51.0000,30.0580,3.2485
9.0000,51.0000,32.4970,3.2484
9.0000,51.0000,34.9360,3.2484
9.0000,51.0000,37.3760,3.2483
9.0000,51.0000,39.8130,3.2483
9.0000,51.0000,42.2500,3.2482
9.0000,51.0000,44.6900,3.2482
9.0000,51.0000,47.1280,3.2481
9.0000,51.0000,49.5640,3.2481
9.0000,51.0000,51.9880,3.2480
9.0000,51.0000,54.4310,3.2480
9.0000,51.0000,56.8670,3.2480
9.0000,51.0000,59.3180,3.2479
9.0000,52.0000,1.7700,3.2479
9.0000,52.0000,4.2090,3.2478
9.0000,52.0000,6.6550,3.2478
9.0000,52.0000,9.0890,3.2477
9.0000,52.0000,11.5250,3.2477
9.0000,52.0000,13.9680,3.2476
9.0000,52.0000,16.4020,3.2476
9.0000,52.0000,18.8480,3.2475
9.0000,52.0000,21.2880,3.2475
9.0000,52.0000,23.7280,3.2474
9.0000,52.0000,26.1590,3.2474
9.0000,52.0000,28.5860,3.2474
9.0000,52.0000,31.0390,3.2473
9.0000,52.0000,33.4910,3.2473
9.0000,52.0000,35.9230,3.2472
9.0000,52.0000,38.3640,3.2472
9.0000,52.0000,40.8030,3.2471
9.0000,52.0000,43.2360,3.2471
9.0000,52.0000,45.6710,3.2470
9.0000,52.0000,48.1140,3.2470
9.0000,52.0000,50.5500,3.2469
9.0000,52.0000,52.9820,3.2469
9.0000,52.0000,55.4180,3.2468
9.0000,52.0000,57.8470,3.2468
9.0000,53.0000,0.2930,3.2467
9.0000,53.0000,2.7320,3.2467
9.0000,53.0000,5.1570,3.2466
9.0000,53.0000,7.5950,3.2466
9.0000,53.0000,10.0360,3.2465
9.0000,53.0000,12.4750,3.2465
9.0000,53.0000,14.9060,3.2464
9.0000,53.0000,17.3460,3.2464
9.0000,53.0000,19.7820,3.2463
9.0000,53.0000,22.2160,3.2463
9.0000,53.0000,24.6530,3.2462
9.0000,53.0000,27.0940,3.2462
9.0000,53.0000,29.5310,3.2461
9.0000,53.0000,31.9710,3.2461
9.0000,53.0000,34.4020,3.2460
9.0000,53.0000,36.8460,3.2459
9.0000,53.0000,39.2860,3.2459
9.0000,53.0000,41.7320,3.2458
9.0000,53.0000,44.1670,3.2458
9.0000,53.0000,46.6100,3.2457
9.0000,53.0000,49.0520,3.2457
9.0000,53.0000,51.4930,3.2456
9.0000,53.0000,53.9400,3.2456
9.0000,53.0000,56.3900,3.2455
9.0000,53.0000,58.8340,3.2455
9.0000,54.0000,1.2770,3.2454
9.0000,54.0000,3.7230,3.2453
9.0000,54.0000,6.1540,3.2453
9.0000,54.0000,8.5900,3.2452
9.0000,54.0000,11.0180,3.2452
9.0000,54.0000,13.4690,3.2451
9.0000,54.0000,15.8960,3.2451
9.0000,54.0000,18.3310,3.2450
9.0000,54.0000,20.7650,3.2449
9.0000,54.0000,23.2020,3.2449
9.0000,54.0000,25.6370,3.2448
9.0000,54.0000,28.0730,3.2448
9.0000,54.0000,30.5180,3.2447
9.0000,54.0000,32.9580,3.2447
9.0000,54.0000,35.3990,3.2446
9.0000,54.0000,37.8400,3.2445
9.0000,54.0000,40.2810,3.2445
9.0000,54.0000,42.7100,3.2444
9.0000,54.0000,45.1440,3.2444
9.0000,54.0000,47.5770,3.2443
9.0000,54.0000,50.0210,3.2442
9.0000,54.0000,52.4620,3.2442
9.0000,54.0000,54.8940,3.2441
9.0000,54.0000,57.3460,3.2441
9.0000,54.0000,59.7950,3.2440
9.0000,55.0000,2.2310,3.2439
9.0000,55.0000,4.6620,3.2439
9.0000,55.0000,7.1090,3.2438
9.0000,55.0000,9.5470,3.2437
9.0000,55.0000,11.9960,3.2437
9.0000,55.0000,14.4270,3.2436
9.0000,55.0000,16.8650,3.2436
9.0000,55.0000,19.3020,3.2435
9.0000,55.0000,21.7510,3.2434
9.0000,55.0000,24.1820,3.2434
9.0000,55.0000,26.6230,3.2433
9.0000,55.0000,29.0720,3.2432
9.0000,55.0000,31.5120,3.2432
9.0000,55.0000,33.9520,3.2431
9.0000,55.0000,36.3910,3.2430
9.0000,55.0000,38.8300,3.2430
9.0000,55.0000,41.2620,3.2429
9.0000,55.0000,43.6930,3.2428
9.0000,55.0000,46.1270,3.2428
9.0000,55.0000,48.5650,3.2427
9.0000,55.0000,51.0130,3.2426
9.0000,55.0000,53.4590,3.2426
9.0000,55.0000,55.8920,3.2425
9.0000,55.0000,58.3330,3.2424
9.0000,56.0000,0.7740,3.2424
9.0000,56.0000,3.2070,3.2423
9.0000,56.0000,5.6390,3.2422
9.0000,56.0000,8.0800,3.2422
9.0000,56.0000,10.5140,3.2421
9.0000,56.0000,12.9500,3.2420
9.0000,56.0000,15.3810,3.2420
9.0000,56.0000,17.8320,3.2419
9.0000,56.0000,20.2640,3.2418
9.0000,56.0000,22.6970,3.2417
9.0000,56.0000,25.1340,3.2417
9.0000,56.0000,27.5630,3.2416
9.0000,56.0000,29.9980,3.2415
9.0000,56.0000,32.4320,3.2414
9.0000,56.0000,34.8850,3.2414
9.0000,56.0000,37.3150,3.2413
9.0000,56.0000,39.7400,3.2412
9.0000,56.0000,42.1740,3.2412
9.0000,56.0000,44.6070,3.2411
9.0000,56.0000,47.0600,3.2410
9.0000,56.0000,49.4980,3.2409
9.0000,56.0000,51.9350,3.2408
9.0000,56.0000,54.3760,3.2408
9.0000,56.0000,56.8200,3.2407
9.0000,56.0000,59.2480,3.2406
9.0000,57.0000,1.6850,3.2405
9.0000,57.0000,4.1150,3.2404
9.0000,57.0000,6.5460,3.2404
9.0000,57.0000,8.9870,3.2403
9.0000,57.0000,11.4390,3.2402
9.0000,57.0000,13.8650,3.2401
9.0000,57.0000,16.3060,3.2401
9.0000,57.0000,18.7470,3.2400
9.0000,57.0000,21.1990,3.2399
9.0000,57.0000,23.6290,3.2398
9.0000,57.0000,26.0720,3.2397
9.0000,57.0000,28.5100,3.2396
9.0000,57.0000,30.9420,3.2396
9.0000,57.0000,33.3730,3.2395
9.0000,57.0000,35.8090,3.2394
9.0000,57.0000,38.2480,3.2393
9.0000,57.0000,40.6900,3.2392
