h,m,s,voltage (V)
11,6,46.393,3.3914334
11,6,48.843,3.3915702
11,6,51.269,3.3917059
11,6,53.707,3.3918374
11,6,56.147,3.3919645
11,6,58.594,3.3920937
11,7,1.027,3.3922209
11,7,3.463,3.3923458
11,7,5.914,3.3924633
11,7,8.362,3.3925904
11,7,10.802,3.3927057
11,7,13.245,3.3928177
11,7,15.686,3.3929287
11,7,18.123,3.3930439
11,7,20.561,3.3931527
11,7,23.001,3.3932658
11,7,25.435,3.3933671
11,7,27.872,3.3934684
11,7,30.312,3.3935686
11,7,32.745,3.3936763
11,7,35.177,3.3937689
11,7,37.628,3.3938605
11,7,40.067,3.393951
11,7,42.506,3.3940426
11,7,44.936,3.3941341
11,7,47.376,3.3942128
11,7,49.809,3.3943022
11,7,52.255,3.3943787
11,7,54.692,3.3944573
11,7,57.137,3.3945424
11,7,59.571,3.3946157
11,8,2.009,3.3946943
11,8,4.446,3.3947536
11,8,6.885,3.3948258
11,8,9.323,3.3948958
11,8,11.755,3.3949637
11,8,14.198,3.3950261
11,8,16.629,3.3950919
11,8,19.069,3.3951457
11,8,21.492,3.3952061
11,8,23.928,3.3952599
11,8,26.357,3.3953192
11,8,28.805,3.3953687
11,8,31.255,3.3954226
11,8,33.688,3.3954732
11,8,36.136,3.3955163
11,8,38.565,3.3955669
11,8,41.012,3.3956111
11,8,43.45,3.3956553
11,8,45.881,3.3956962
11,8,48.322,3.3957328
11,8,50.754,3.3957749
11,8,53.192,3.395818
11,8,55.631,3.3958481
11,8,58.065,3.3958869
11,9,0.496,3.3959203
11,9,2.937,3.3959548
11,9,5.375,3.395986
11,9,7.814,3.3960237
11,9,10.253,3.3960485
11,9,12.686,3.3960873
11,9,15.128,3.3961056
11,9,17.575,3.396139
11,9,20.012,3.3961627
11,9,22.451,3.3961918
11,9,24.882,3.3962069
11,9,27.311,3.3962403
11,9,29.749,3.3962564
11,9,32.183,3.3962844
11,9,34.614,3.3963027
11,9,37.038,3.3963243
